insee_com,Année,nb_deces
01067,2019,1
01067,2020,4
01067,2021,2
01067,2022,2
01067,2023,1
01068,2018,13
01068,2019,15
01068,2020,16
01068,2021,26
01068,2022,14
01068,2023,14
01069,2018,5
01069,2019,8
01069,2020,9
01069,2021,4
01069,2022,8
01069,2023,11
01071,2018,14
01071,2019,9
01071,2020,14
01071,2021,15
01071,2022,14
01071,2023,13
01072,2018,32
01072,2019,36
01072,2020,36
01072,2021,51
01072,2022,39
01072,2023,33
01073,2018,9
01073,2019,10
01073,2020,7
01073,2021,4
01073,2022,10
01073,2023,8
01074,2018,30
01074,2019,38
01074,2020,41
01074,2021,31
01074,2022,30
01074,2023,25
01075,2018,6
01075,2019,9
01075,2020,4
01075,2021,7
01075,2022,7
01075,2023,4
01076,2018,3
01076,2019,2
01076,2020,1
01076,2021,3
01076,2022,1
01076,2023,1
01077,2019,3
01077,2020,1
01077,2021,3
01077,2022,1
01077,2023,1
01078,2018,21
01078,2019,13
01078,2020,28
01078,2021,16
01078,2022,23
01078,2023,18
01079,2018,26
01079,2019,38
01079,2020,22
01079,2021,17
01079,2022,27
01079,2023,19
01080,2018,7
01080,2019,3
01080,2020,5
01080,2021,1
01080,2022,5
01080,2023,6
01081,2018,5
01081,2019,7
01081,2020,9
01081,2021,5
01081,2022,7
01081,2023,4
01082,2018,5
01082,2019,3
01082,2020,5
01082,2021,4
01082,2022,2
01082,2023,1
01083,2018,5
01083,2019,3
01083,2020,6
01083,2021,4
01083,2022,6
01083,2023,5
01084,2018,3
01084,2019,3
01084,2020,3
01084,2021,8
01084,2022,4
01084,2023,4
01085,2018,2
01085,2019,2
01085,2020,1
01085,2021,2
01085,2022,1
01085,2023,3
01087,2018,3
01087,2019,2
01087,2020,1
01087,2021,5
01087,2022,2
01087,2023,3
01088,2018,2
01088,2019,2
01088,2020,5
01088,2021,3
01088,2022,5
01088,2023,5
01089,2018,11
01089,2019,10
01089,2020,9
01089,2021,12
01089,2022,15
01089,2023,17
01090,2018,3
01090,2019,2
01090,2020,5
01090,2021,2
01090,2022,3
01090,2023,1
01091,2018,13
01091,2019,1
01091,2021,2
01091,2022,2
01091,2023,1
01092,2018,7
01092,2019,8
01092,2020,9
01092,2021,7
01092,2022,8
01092,2023,9
01093,2018,75
01093,2019,107
01093,2020,137
01093,2021,83
01093,2022,89
01093,2023,87
01094,2018,5
01094,2019,11
01094,2020,12
01094,2021,7
01094,2022,7
01094,2023,4
01095,2018,10
01095,2019,2
01095,2020,4
01095,2021,5
01095,2022,8
01095,2023,2
01096,2018,6
01096,2019,7
01096,2020,6
01096,2021,7
01096,2022,4
01096,2023,3
01097,2018,3
01098,2018,9
01098,2019,12
01098,2020,4
01098,2021,11
01098,2022,14
01098,2023,10
01099,2018,11
01099,2019,8
01099,2020,14
01099,2021,12
01099,2022,12
01099,2023,11
01100,2018,1
01100,2020,4
01100,2021,2
01100,2022,3
01100,2023,3
01101,2018,1
01101,2019,4
01101,2020,1
01101,2021,1
01101,2022,2
01102,2018,9
01102,2019,6
01102,2020,7
01102,2021,4
01102,2022,6
01102,2023,6
01103,2018,7
01103,2019,2
01103,2020,4
01103,2021,5
01103,2022,3
01103,2023,7
01104,2018,3
01104,2019,6
01104,2020,3
01104,2021,3
01104,2022,3
01105,2018,5
01105,2019,4
01105,2020,8
01105,2021,7
01105,2022,10
01105,2023,8
01106,2020,2
01106,2021,3
01106,2023,3
01107,2019,1
01107,2020,2
01107,2022,1
01108,2018,29
01108,2019,32
01108,2020,41
01108,2021,26
01108,2022,31
01108,2023,40
01109,2018,8
01109,2019,8
01109,2020,6
01109,2021,9
01109,2022,2
01109,2023,6
01110,2018,2
01110,2019,3
01110,2020,1
01110,2021,1
01110,2022,1
01110,2023,1
01111,2020,2
01111,2021,1
01111,2022,1
01112,2018,1
01112,2019,1
01112,2020,3
01112,2021,2
01112,2022,2
01112,2023,1
01113,2018,5
01113,2019,5
01113,2020,6
01113,2021,5
01113,2022,1
01113,2023,8
01114,2018,15
01114,2019,20
01114,2020,32
01114,2021,9
01114,2022,13
01114,2023,21
01115,2018,3
01115,2019,5
01115,2020,5
01115,2021,6
01115,2022,8
01115,2023,5
01116,2018,2
01116,2019,7
01116,2020,4
01116,2021,7
01116,2022,8
01116,2023,2
01117,2018,1
01117,2019,1
01117,2023,2
01118,2018,22
01118,2019,18
01118,2020,20
01118,2021,22
01118,2022,23
01118,2023,28
01121,2019,1
01121,2021,1
01121,2022,1
01122,2018,11
01123,2018,9
01123,2019,11
01123,2020,12
01123,2021,6
01123,2022,7
01123,2023,10
01124,2018,6
01124,2019,8
01124,2020,5
01124,2021,8
01124,2022,8
01124,2023,7
01125,2018,4
01125,2019,2
01125,2020,5
01125,2021,5
01125,2022,4
01125,2023,5
01127,2018,1
01127,2019,1
01127,2020,2
01127,2021,2
01127,2022,6
01127,2023,1
01128,2018,3
01128,2019,1
01128,2020,3
01128,2022,2
01128,2023,1
01129,2018,3
01129,2019,1
01129,2021,2
01129,2022,4
01129,2023,2
01130,2018,9
01130,2019,10
01130,2020,12
01130,2021,12
01130,2022,22
01130,2023,9
01133,2018,5
01133,2019,2
01133,2020,5
01133,2021,1
01133,2022,1
01133,2023,3
01134,2018,8
01134,2019,12
01134,2020,6
01134,2021,13
01134,2022,10
01134,2023,5
01135,2018,2
01135,2019,12
01135,2020,6
01135,2021,2
01135,2022,11
01135,2023,5
01136,2018,7
01136,2019,5
01136,2020,7
01136,2021,5
01136,2022,4
01136,2023,4
01138,2018,24
01138,2019,24
01138,2020,25
01138,2021,23
01138,2022,27
01138,2023,28
01139,2018,6
01139,2019,5
01139,2020,4
01139,2021,1
01139,2022,4
01139,2023,3
01140,2018,14
01140,2019,11
01140,2020,13
01140,2021,12
01140,2022,10
01140,2023,8
01141,2018,3
01141,2020,7
01141,2021,6
01141,2022,6
01141,2023,4
01142,2018,25
01142,2019,20
01142,2020,22
01142,2021,21
01142,2022,29
01142,2023,24
01143,2018,44
01143,2019,53
01143,2020,50
01143,2021,61
01143,2022,61
01143,2023,60
01144,2018,1
01145,2018,6
01145,2019,6
01145,2020,10
01145,2021,8
01145,2022,4
01145,2023,6
01146,2019,2
01146,2020,3
01146,2021,7
01146,2022,2
01146,2023,1
01147,2018,4
01147,2019,5
01147,2020,3
01147,2021,2
01147,2022,4
01147,2023,4
01148,2018,12
01148,2019,15
01148,2020,13
01148,2021,11
01148,2022,18
01148,2023,17
01149,2018,4
01149,2019,4
01149,2020,6
01149,2021,5
01149,2022,10
01149,2023,7
01150,2018,2
01150,2019,3
01150,2020,1
01150,2021,1
01150,2023,2
01151,2018,9
01151,2019,9
01151,2020,12
01151,2021,9
01151,2022,14
01151,2023,7
01152,2018,4
01152,2019,10
01152,2020,7
01152,2021,4
01152,2022,5
01152,2023,4
01153,2018,4
01153,2019,7
01153,2020,5
01153,2021,6
01153,2022,4
01153,2023,8
01154,2018,4
01155,2018,2
01155,2020,1
01155,2021,3
01155,2023,2
01156,2018,7
01156,2019,4
01156,2020,3
01156,2021,2
01156,2022,3
01156,2023,2
01157,2018,11
01157,2019,7
01157,2020,12
01157,2021,13
01157,2022,12
01157,2023,17
01158,2018,3
01158,2019,1
01158,2020,1
01158,2021,3
01158,2022,5
01158,2023,5
01159,2018,27
01159,2019,36
01159,2020,42
01159,2021,28
01159,2022,33
01159,2023,35
01160,2018,27
01160,2019,28
01160,2020,30
01160,2021,24
01160,2022,27
01160,2023,32
01162,2020,1
01162,2021,1
01162,2022,1
01162,2023,1
01163,2018,25
01163,2019,23
01163,2020,20
01163,2021,22
01163,2022,24
01163,2023,19
01165,2018,10
01165,2019,7
01165,2020,7
01165,2021,4
01165,2022,14
01165,2023,5
01166,2018,15
01166,2019,13
01166,2020,12
01166,2021,13
01166,2022,16
01166,2023,12
01167,2018,2
01167,2019,2
01167,2020,3
01167,2021,4
01167,2022,3
01167,2023,3
01169,2018,3
01169,2020,3
01169,2022,3
01169,2023,5
01170,2018,7
01170,2019,2
01170,2020,2
01170,2021,8
01170,2022,4
01170,2023,6
01171,2018,4
01171,2019,1
01171,2020,7
01171,2021,6
01171,2022,2
01171,2023,8
01173,2018,72
01173,2019,69
01173,2020,83
01173,2021,74
01173,2022,62
01173,2023,64
01174,2018,2
01174,2019,2
01174,2021,3
01174,2023,3
01175,2018,7
01175,2019,4
01175,2020,4
01175,2021,1
01175,2022,9
01175,2023,7
01177,2018,1
01177,2019,1
01177,2020,1
01177,2021,3
01177,2022,2
01177,2023,2
01179,2018,17
01179,2019,15
01179,2020,20
01179,2021,20
01179,2022,15
01179,2023,16
01180,2018,2
01180,2019,6
01180,2020,3
01180,2021,5
01180,2022,2
01180,2023,7
01181,2018,16
01181,2019,12
01181,2020,21
01181,2021,12
01181,2022,16
01181,2023,16
01183,2018,6
01183,2019,7
01183,2020,9
01183,2021,7
01183,2022,15
01183,2023,5
01184,2018,6
01184,2019,4
01184,2020,6
01184,2021,7
01184,2022,8
01184,2023,3
01185,2018,68
01185,2019,78
01185,2020,90
01185,2021,63
01185,2022,80
01185,2023,54
01186,2018,2
01187,2018,8
01187,2019,9
01187,2020,5
01187,2021,11
01187,2022,6
01187,2023,4
01188,2018,4
01188,2019,6
01188,2020,8
01188,2021,3
01188,2022,4
01189,2018,4
01189,2019,7
01189,2020,2
01189,2021,7
01189,2022,7
01189,2023,5
01190,2019,1
01190,2020,1
01190,2021,4
01190,2022,1
01191,2018,1
01191,2019,1
01191,2020,3
01191,2021,2
01191,2022,1
01191,2023,4
01192,2018,20
01192,2019,9
01192,2020,16
01192,2021,9
01192,2022,5
01192,2023,8
01193,2018,1
01193,2020,2
01193,2021,2
01193,2022,2
01193,2023,5
01194,2018,59
01194,2019,50
01194,2020,74
01194,2021,63
01194,2022,64
01194,2023,55
01195,2018,27
01195,2019,26
01195,2020,34
01195,2021,34
01195,2022,33
01195,2023,30
01196,2018,4
01196,2019,4
01196,2020,4
01196,2021,6
01196,2022,7
01196,2023,10
01197,2018,1
01197,2019,4
01197,2020,2
01197,2021,2
